Trat	Parcela	D�as	Plantas	Enfermas
PT	5	42	20	1
M	5	57	20	3
M	5	71	20	5
M	5	85	20	7
M	5	99	20	11
M	5	112	20	13
M	5	126	20	18
M	5	143	20	20
M	8	42	20	0
M	8	57	20	3
M	8	71	20	5
M	8	85	20	5
M	8	99	20	11
M	8	112	20	14
M	8	126	20	18
M	8	143	20	20
M	11	42	20	2
M	11	57	20	3
M	11	71	20	6
M	11	85	20	7
M	11	99	20	12
M	11	112	20	17
M	11	126	20	20
M	11	143	20	20
M	16	42	20	0
M	16	57	20	1
M	16	71	20	4
M	16	85	20	5
M	16	99	20	12
M	16	112	20	18
M	16	126	20	20
M	16	143	20	20
M	19	42	20	1
M	19	57	20	4
M	19	71	20	8
M	19	85	20	9
M	19	99	20	13
M	19	112	20	15
M	19	126	20	19
M	19	143	20	20
PN	1	42	20	0
PN	1	57	20	0
PN	1	71	20	0
PN	1	85	20	0
PN	1	99	20	4
PN	1	112	20	12
PN	1	126	20	16
PN	1	143	20	20
PN	4	42	20	0
PN	4	57	20	0
PN	4	71	20	0
PN	4	85	20	0
PN	4	99	20	3
PN	4	112	20	6
PN	4	126	20	11
PN	4	143	20	20
PN	9	42	20	1
PN	9	57	20	1
PN	9	71	20	2
PN	9	85	20	2
PN	9	99	20	5
PN	9	112	20	14
PN	9	126	20	19
PN	9	143	20	20
PN	14	42	20	0
PN	14	57	20	0
PN	14	71	20	5
PN	14	85	20	7
PN	14	99	20	12
PN	14	112	20	18
PN	14	126	20	20
PN	14	143	20	20
PN	17	42	20	0
PN	17	57	20	0
PN	17	71	20	1
PN	17	85	20	1
PN	17	99	20	8
PN	17	112	20	19
PN	17	126	20	20
PN	17	143	20	20
PP	3	42	20	0
PP	3	57	20	0
PP	3	71	20	1
PP	3	85	20	2
PP	3	99	20	5
PP	3	112	20	8
PP	3	126	20	12
PP	3	143	20	20
PP	6	42	20	0
PP	6	57	20	0
PP	6	71	20	0
PP	6	85	20	0
PP	6	99	20	4
PP	6	112	20	10
PP	6	126	20	14
PP	6	143	20	20
PP	12	42	20	0
PP	12	57	20	1
PP	12	71	20	3
PP	12	85	20	3
PP	12	99	20	4
PP	12	112	20	15
PP	12	126	20	19
PP	12	143	20	20
PP	13	42	20	0
PP	13	57	20	0
PP	13	71	20	0
PP	13	85	20	2
PP	13	99	20	5
PP	13	112	20	16
PP	13	126	20	20
PP	13	143	20	20
PP	18	42	20	0
PP	18	57	20	0
PP	18	71	20	1
PP	18	85	20	1
PP	18	99	20	3
PP	18	112	20	13
PP	18	126	20	19
PP	18	143	20	20
T	2	42	20	1
T	2	57	20	3
T	2	71	20	4
T	2	85	20	6
T	2	99	20	11
T	2	112	20	15
T	2	126	20	17
T	2	143	20	20
T	7	42	20	2
T	7	57	20	5
T	7	71	20	8
T	7	85	20	11
T	7	99	20	14
T	7	112	20	17
T	7	126	20	19
T	7	143	20	20
T	10	42	20	0
T	10	57	20	2
T	10	71	20	4
T	10	85	20	6
T	10	99	20	10
T	10	112	20	15
T	10	126	20	19
T	10	143	20	20
T	15	42	20	1
T	15	57	20	7
T	15	71	20	11
T	15	85	20	11
T	15	99	20	20
T	15	112	20	20
T	15	126	20	20
T	15	143	20	20
T	20	42	20	1
T	20	57	20	2
T	20	71	20	5
T	20	85	20	7
T	20	99	20	13
T	20	112	20	16
T	20	126	20	19
T	20	143	20	20
